"","Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Generic Job Title","Professional/ Occupational Group","Payscale Minimum (£)","Payscale Maximum (£)","Number of Posts in FTE"
"1","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","AO","Information Technology.Admin Officer","Digital, Technology and Data","18514","24519",1
"2","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","AO","Operation Delivery.Admin Officer","Operational Delivery","18514","24519",1
"3","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","AO","Operation Delivery.Case Progression Officer","Operational Delivery","18514","24519",0.91892
"4","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","EO","Information Technology.Information Technology","Digital, Technology and Data","20755","32600",2
"5","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","HEO","Finance.Admin Officer","Finance","23647","41485",1
"6","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","HEO","Finance.Information Technology","Finance","23647","41485",1
"7","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","HEO","Information Technology.Information Technology","Digital, Technology and Data","23647","41485",1
"8","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","HEO","Operation Delivery.Team Manager","Operational Delivery","23647","41485",1.91892
"9","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","HEO","Other.Admin Officer","Operational Delivery","23647","41485",1
"10","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","SEO","HQMP6.C&C ICT Infrastructure and Sytems Manager","Operational Delivery","30531","53768",1
"11","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","SEO","Information Technology.Information Technology","Digital, Technology and Data","30531","53768",1.91892
"12","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","SEO","Information Technology.Senior Manager","Digital, Technology and Data","30531","53768",1
"13","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG30","SEO","Other.Business Manager","Operational Delivery","30531","53768",1
"14","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG38","G7","Finance.Director","Finance","43038","80756",1
"15","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Communications and Marketing.Head of Operations","Operational Delivery","43038","80756",1
"16","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Finance.Head of Section","Finance","43038","80756",1
"17","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Law.Lawyer","Legal","43038","80756",1
"18","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Operation Delivery.Business Manager","Operational Delivery","43038","80756",1
"19","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Operation Delivery.Finance & Performance","Operational Delivery","43038","80756",0.32432
"20","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Operational Support.","Operational Delivery","43038","80756",1.51351
"21","Ministry of Justice","AGY - CICA","DIR - CICA","CFOG39","G7","Psychology.Team Manager","Operational Delivery","43038","80756",0.64865
