Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Generic Job Title,Professional/ Occupational Group,Payscale Minimum (£),Payscale Maximum (£),Number of Posts in FTE
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,AO,Information Technology.Admin Officer,"Digital, Technology and Data",18514,24519,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,AO,Operation Delivery.Admin Officer,Operational Delivery,18514,24519,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,AO,Operation Delivery.Case Progression Officer,Operational Delivery,18514,24519,0.91892
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,EO,Information Technology.Information Technology,"Digital, Technology and Data",20755,32600,2
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,HEO,Finance.Admin Officer,Finance,23647,41485,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,HEO,Finance.Information Technology,Finance,23647,41485,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,HEO,Information Technology.Information Technology,"Digital, Technology and Data",23647,41485,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,HEO,Operation Delivery.Team Manager,Operational Delivery,23647,41485,1.91892
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,HEO,Other.Admin Officer,Operational Delivery,23647,41485,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,SEO,HQMP6.C&C ICT Infrastructure and Sytems Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,SEO,Information Technology.Information Technology,"Digital, Technology and Data",30531,53768,1.91892
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,SEO,Information Technology.Senior Manager,"Digital, Technology and Data",30531,53768,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG30,SEO,Other.Business Manager,Operational Delivery,30531,53768,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG38,G7,Finance.Director,Finance,43038,80756,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG39,G7,Communications and Marketing.Head of Operations,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG39,G7,Finance.Head of Section,Finance,43038,80756,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG39,G7,Law.Lawyer,Legal,43038,80756,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG39,G7,Operation Delivery.Business Manager,Operational Delivery,43038,80756,1
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG39,G7,Operation Delivery.Finance & Performance,Operational Delivery,43038,80756,0.32432
Ministry of Justice,AGY - CICA,DIR - CICA,CFOG39,G7,Operational Support.,Operational Delivery,43038,80756,1.51351
