Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone Number,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Profession,Notes,Valid?
HMCTS1,Sidonie Kingsmill,SCS2,Other.Director,Customer Director's Office,Ministry of Justice,AGY - HMCTS,HQ Customer Services,020 3334 3555,general.queries@justice.gsi.gov.uk,HMCTS16,3440599,1,125000,129999,Operational Delivery,,1
PG1,N/D,SCS1,Operation Delivery.Deputy Director,Finance Projects and Service Management,Ministry of Justice,AGY - MoJ HQ,DIR - MoJ Shared Services,020 3334 3555,general.queries@justice.gsi.gov.uk,PG11,356781,1,N/A,N/A,Operational Delivery,,1
JPSCG1,Mark Sweeney,SCS3,Operation Delivery.Director General,DG Justice Policy Strategy & Communications Admin,Ministry of Justice,AGY - MoJ HQ,"DIR - DG Justice Policy, Strategy & Communications",020 3334 3555,general.queries@justice.gsi.gov.uk,JPSCG29,62913942,1,130000,134999,Policy,,1
HMCTS2,N/D,SCS1,Operation Delivery.Deputy Director,Enf - London Region,Ministry of Justice,AGY - HMCTS,London Enforcement,020 3334 3555,general.queries@justice.gsi.gov.uk,HMCTS9,18790058,1,N/A,N/A,Operational Delivery,,1
HMCTS3,Louise Alexander,SCS2,Other.Director,HMCTS HR Director's Office,Ministry of Justice,AGY - HMCTS,HQ Human Resources,020 3334 3555,general.queries@justice.gsi.gov.uk,HMCTS16,1532628,1,110000,114999,Human Resources,,1
JPSCG2,N/D,SCS1,Policy Delivery.Director,Europe,Ministry of Justice,AGY - MoJ HQ,"DIR - DG Justice Policy, Strategy & Communications",020 3334 3555,general.queries@justice.gsi.gov.uk,JPSCG6,965100,1,N/A,N/A,Policy,,1
HMCTS4,N/D,SCS1,Operation Delivery.Deputy Director,London RSU 2,Ministry of Justice,AGY - HMCTS,CT London Regional Office,020 3334 3555,general.queries@justice.gsi.gov.uk,HMCTS43,445739,1,N/A,N/A,Operational Delivery,,1
JPSCG3,Nicholas Goodwin,SCS2,Policy Delivery.Director,DG Justice Policy Strategy & Communications Admin,Ministry of Justice,AGY - MoJ HQ,"DIR - DG Justice Policy, Strategy & Communications",020 3334 3555,general.queries@justice.gsi.gov.uk,JPSCG1,4009194,1,90000,94999,Policy,,1
JPSCG4,N/D,SCS1,Other.Deputy Director,News Division,Ministry of Justice,AGY - MoJ HQ,DIR - Communications & Information Directorate,020 3334 3555,general.queries@justice.gsi.gov.uk,JPSCG16,0,1,N/A,N/A,Communications,,1
JAOPG1,N/D,SCS1,Other.Deputy Director,Director's Office Analytical Services,Ministry of Justice,AGY - MoJ HQ,DIR - Analytical Services Group,020 3334 3555,general.queries@justice.gsi.gov.uk,JAOPG24,1909016,1,N/A,N/A,Operational Research,,1
PG2,N/D,SCS1,Human Resources.Deputy Director,HR Major Projects Admin,Ministry of Justice,AGY - MoJ HQ,DIR - MOJ HR,020 3334 3555,general.queries@justice.gsi.gov.uk,PG3,365863,1,N/A,N/A,Human Resources,,1
